Title,Year,Category,Session,Author,Keyword,Speed,Accuracy,Scability,Efficiency,Effectiveness,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis,,
Ambient Occlusion and Edge Cueing for Enhancing Real Time Molecular Visualization,2006,SciVis,Large Data Set Visualization,"Marco Tarini, Paolo Cignoni, Claudio Montani",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fast and Efficient Compression of Floating-Point Data,2006,SciVis,Large Data Set Visualization,"Peter Lindstrom, Martin Isenburg","High throughput, lossless compression, file compaction for I/O efficiency, fast entropy coding, range coder, predictive coding, large scale simulation and visualization.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visualization and Analysis of Large Data Collections: a Case Study Applied to Confocal Microscopy Data,2006,SciVis,Large Data Set Visualization,"Wim de Leeuw, Pernette Verschure, Robert van Liere","Biomedical visualization, features in volume data sets, large data set visualization.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
On Histograms and Isosurface Statistics,2006,SciVis,Isosurfaces and Polygonal Meshes,"Hamish Carr, Brian Duffy, Barry Denby","histograms, isosurfaces, isosurface statistics",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Interactive Point-based Isosurface Exploration and High-quality Rendering,2006,SciVis,Isosurfaces and Polygonal Meshes,"Haitao Zhang, Arie Kaufman","Isosurface, point-based visualization, isosurface extraction, hardware acceleration, GPU acceleration.",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Using Difference Intervals for Time-Varying Isosurface Visualization,2006,SciVis,Isosurfaces and Polygonal Meshes,"Kenneth Waters, Christopher Co, Kenneth Joy","Isosurface, time-varying, span space, out-of-core, point-based rendering.",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Isosurface Extraction and Spatial Filtering using Persistent Octree (POT),2006,SciVis,Isosurfaces and Polygonal Meshes,"Qingmin Shi, Joseph JaJa","scientic visualization, isosurface extraction, indexing.",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Scalable Data Servers for Large Multivariate Volume Visualization,2006,SciVis,Volume Rendering of Extremely Large Datasets,"Markus Glatter, Colin Mollenhour, Jian Huang, Jinzhu Gao","Parallel and distributed volume visualization, large Data Set Visualization, multi-variate Visualization, volume Visualization.",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distributed Shared Memory for Roaming Large Volumes,2006,SciVis,Volume Rendering of Extremely Large Datasets,"Laurent Castanié, Christophe Mion, Xavier Cavin, Bruno Lévy","Large volumes, volume roaming, out-of-core, hierarchical caching, distributed shared memory, hardware-accelerated volume visualization, graphics hardware, parallel rendering, graphics cluster.",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Progressive Volume Rendering of Large Unstructured Grids,2006,SciVis,Volume Rendering of Extremely Large Datasets,"Steven P. Callahan, Louis Bavoil, Valerio Pascucci, Cláudio T. Silva","Volume Rendering, Large Unstructured Grids, Client-Server, Progressive Rendering, Level-of-Detail",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Representing Higher-Order Singularities in Vector Fields on Piecewise Linear Surfaces,2006,SciVis,Vector/Tensor Visualization,"Wan-Chiu Li, Bruno Vallet, Nicolas Ray, Bruno Lévy","vector field visualization, higher-order singularities, line integral convolution, GPU.",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Techniques for the Visualization of Topological Defect Behavior in Nematic Liquid Crystals,2006,SciVis,Vector/Tensor Visualization,"Vadim A. Slavin, Robert A. Pelcovits, George Loriot, Andrew Callan-Jones, David H. Laidlaw","Tensor Visualization, Case Studies, Liquid Crystals, Molecular Modeling",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Diffusion Tensor Visualization with Glyph Packing,2006,SciVis,Vector/Tensor Visualization,"Gordon Kindlmann, Carl-Fredrik Westin","Diffusion tensor, glyphs, particle systems, anisotropic sampling, fiber tractography",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Extensions of the Zwart-Powell Box Spline for Volumetric Data Reconstruction on the Cartesian Lattice,2006,SciVis,Volume Modeling and Rendering,"Alireza Entezari, Torsten Möller","Volumetric data interpolation, reconstruction, box splines.",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A Generic and Scalable Pipeline for GPU Tetrahedral Grid Rendering,2006,SciVis,Volume Modeling and Rendering,"Joachim Georgii, Rüdiger Westermann","Direct volume rendering, unstructured grids, programmable graphics hardware",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A Spectral Analysis of Function Composition and its Implications for Sampling in Direct Volume Visualization,2006,SciVis,Volume Modeling and Rendering,"Steven Bergner, Torsten Möller, Daniel Weiskopf, David J. Muraki","volume rendering, transfer function, signal processing, Fourier transform, adaptive sampling.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
